tract,year,New open,count,is_cbd,post_covid,DID,open_ln,tr_x,population,yr,TRACTCE10,SHAPE_AREA,tr_y,pop,density,post covid * density,density_rank,density_group
200.0,2014,18,141.0,1,0,0,2.8903717578961645,200.0,2285.0,2014.0,000200,4116628.18507,200.0,2.285,0.5550659173658515,0.0,0.6504965622612682,mid_density
200.0,2015,31,141.0,1,0,0,3.4339872044851463,200.0,2331.0,2015.0,000200,4116628.18507,200.0,2.331,0.566240110888315,0.0,0.6371275783040489,mid_density
200.0,2016,26,141.0,1,0,0,3.258096538021482,200.0,2563.0,2016.0,000200,4116628.18507,200.0,2.563,0.6225969130016094,0.0,0.5748663101604278,mid_density
200.0,2017,54,141.0,1,0,0,3.9889840465642745,200.0,2683.0,2017.0,000200,4116628.18507,200.0,2.683,0.65174698306021,0.0,0.5362872421695951,mid_density
200.0,2018,25,141.0,1,0,0,3.2188758248682006,200.0,2576.0,2018.0,000200,4116628.18507,200.0,2.576,0.6257548372579578,0.0,0.5718105423987777,mid_density
200.0,2019,28,141.0,1,1,1,3.332204510175204,200.0,2860.0,2019.0,000200,4116628.18507,200.0,2.86,0.6947433363966456,0.6947433363966456,0.4810924369747899,low_density
200.0,2020,26,141.0,1,1,1,3.258096538021482,200.0,3175.0,2020.0,000200,4116628.18507,200.0,3.175,0.771262270300472,0.771262270300472,0.4090909090909091,low_density
200.0,2021,10,141.0,1,1,1,2.302585092994046,200.0,2860.0,2021.0,000200,4116628.18507,200.0,2.86,0.6947433363966456,0.6947433363966456,0.4810924369747899,low_density
300.0,2013,6,58.0,1,0,0,1.791759469228055,300.0,3398.0,2013.0,000300,5887110.24019,300.0,3.398,0.5771932002907989,0.0,0.6241405653170359,mid_density
300.0,2014,6,58.0,1,0,0,1.791759469228055,300.0,3438.0,2014.0,000300,5887110.24019,300.0,3.438,0.5839877052971649,0.0,0.6180290297937356,mid_density
300.0,2015,8,58.0,1,0,0,2.0794415416798357,300.0,3405.0,2015.0,000300,5887110.24019,300.0,3.405,0.578382238666913,0.0,0.6222307104660045,mid_density
300.0,2016,6,58.0,1,0,0,1.791759469228055,300.0,3530.0,2016.0,000300,5887110.24019,300.0,3.53,0.599615066811807,0.0,0.599694423223835,mid_density
300.0,2017,13,58.0,1,0,0,2.5649493574615367,300.0,3534.0,2017.0,000300,5887110.24019,300.0,3.534,0.6002945173124435,0.0,0.5985485103132162,mid_density
300.0,2018,31,58.0,1,0,0,3.4339872044851463,300.0,3444.0,2018.0,000300,5887110.24019,300.0,3.444,0.5850068810481199,0.0,0.6161191749427044,mid_density
300.0,2019,33,58.0,1,1,1,3.4965075614664802,300.0,3385.0,2019.0,000300,5887110.24019,300.0,3.385,0.57498498616373,0.57498498616373,0.6270053475935828,mid_density
300.0,2020,2,58.0,1,1,1,0.6931471805599453,300.0,3586.0,2020.0,000300,5887110.24019,300.0,3.586,0.6091273738207195,0.6091273738207195,0.5886172650878533,mid_density
300.0,2021,12,58.0,1,1,1,2.4849066497880004,300.0,3385.0,2021.0,000300,5887110.24019,300.0,3.385,0.57498498616373,0.57498498616373,0.6270053475935828,mid_density
401.0,2013,4,14.0,1,0,0,1.3862943611198906,401.0,2458.0,2013.0,000401,2513118.53678,401.0,2.458,0.9780676733017846,0.0,0.2173414820473644,low_density
401.0,2014,3,14.0,1,0,0,1.0986122886681098,401.0,2566.0,2014.0,000401,2513118.53678,401.0,2.566,1.0210421683044666,0.0,0.1906035141329259,low_density
401.0,2015,2,14.0,1,0,0,0.6931471805599453,401.0,2836.0,2015.0,000401,2513118.53678,401.0,2.836,1.128478405811172,0.0,0.1306340718105424,low_density
401.0,2016,5,14.0,1,0,0,1.6094379124341003,401.0,2666.0,2016.0,000401,2513118.53678,401.0,2.666,1.0608333673810242,0.0,0.16768525592055003,low_density
401.0,2017,6,14.0,1,0,0,1.791759469228055,401.0,2632.0,2017.0,000401,2513118.53678,401.0,2.632,1.0473043596949947,0.0,0.17379679144385027,low_density
401.0,2018,2,14.0,1,0,0,0.6931471805599453,401.0,2591.0,2018.0,000401,2513118.53678,401.0,2.591,1.030989968073606,0.0,0.18372803666921314,low_density
401.0,2019,5,14.0,1,1,1,1.6094379124341003,401.0,2516.0,2019.0,000401,2513118.53678,401.0,2.516,1.001146568766188,1.001146568766188,0.20339954163483576,low_density
